id,user_referral_id,source_transaction_id,created_at,is_reward_granted
11,83cb4022ced1647a1cdd9380b8106a19,aa7f55497ab7a5842145c6c58e1395c2,2024-07-08 06:38:21+00:00,True
20,ce02d9de7eb3845c4856adc54e7b6200,3efa130b4bcb9b0675e0c5ac526b1e33,2024-07-09 09:29:05+00:00,True
23,e1d2d2cc4a6df4089bc731f4263640ca,701ee6fa1925773ad8e13f1f6b7293ae,2024-07-05 09:56:15+00:00,True
25,ff72af3d62ca200a17a7edb67d2c634b,441dc9d263135dfc7f7cd52b71a91cec,2024-07-05 10:43:19+00:00,True
33,119330b602a0e3bc0b66487b6c53ec19,91273b98dd4ab2ac704baed2329670d2,2024-07-05 18:56:06+00:00,True
38,82e7ec73d7700d10df5d39152a1be99b,37e333214559ae0ef1d3dd0f05a88fb3,2024-07-10 06:30:31+00:00,True
39,b15e59ed156a329cdde9dd29735b2ba7,0d5745a60be9f0d9163c99c91fd61efc,2024-07-08 11:07:17+00:00,True
45,fdfde6cb21841dad79469d4a3fcaad27,8da091c2cab51b8aef9b879bf66c012c,2024-07-08 03:56:21+00:00,True
46,4fcd4f2959a4aeded9ac153d9d968c6e,315005220778899aa196df433f7a4b2c,2024-07-09 08:05:09+00:00,True
48,fc43d6bec580e44fe4a696760ef68ba4,1a38a3d929b892b855a5aebab3a7da0b,2024-07-09 10:32:58+00:00,True
51,2621c294649c4fba3c4b7e28b2e7963c,93f2168a515cdf217ee4e7996d850312,2024-07-05 18:36:17+00:00,True
60,c3c1bdd9aed7b3d7b928738b2c2d08b9,3d0480bf43f221700f807b2f9df05517,2024-07-10 06:45:10+00:00,True
65,591b6cece96afe619232ca08e808fba7,82ed15391a25795bee96e7e7f152dc74,2024-07-09 07:03:00+00:00,True
82,4bcdf4d114ea3d37f39e71e872ebc346,411b62490cb827a87413683b1aad2cc3,2024-07-08 07:09:02+00:00,True
88,925cab7299c15ed8d056d206cb89690b,8699da6f799e475035c94a1a53f131c0,2024-07-08 08:12:41+00:00,True
89,9bf56940533b6a47ef957262ef2e7792,d4b50fe31e2f0143ac639aeaeb4b3820,2024-07-08 03:34:13+00:00,True
96,ed818778e57d8fe56c797a7450004a32,de0d476b360046c0d079d5f8fcb77c00,2024-07-10 08:51:11+00:00,True
